file_name,text
CTN001jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | varied line weight | gestural strokes, black and white | monochrome | print cartoon | white background | no color fill, satirical | confrontational | exaggerated | humorous tension | absurdist, dry wit | political commentary | ironic | sharp | deadpan, three figure layout | horizontal spread | left to right narrative flow | large negative white space | frontal view | eye level | speech bubble top left | asymmetric balance | isolated figures | implied ground plane"
CTN002jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | spot color red | varied line weight | dense detail, black white and red | limited color | print cartoon | white background, dark | disturbing | satirical | grotesque | critical, scathing | accusatory | macabre | political condemnation | darkly ironic, vertical layering | figure above chaos | foreground to background depth | desk as stage | crowd below | top-heavy weight | speech bubble top right | birdcage prop | portrait inset top left | dense lower third"
CTN003jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | strip format | multi-panel, pen and ink | cross-hatching | bold outlines | hand-drawn linework | decorative pattern fills | varied line weight, black and white | monochrome | print cartoon | paneled layout, satirical | skeptical | cynical | dry humour | wry, political commentary | ironic | deadpan | comparative | resigned, three panel horizontal strip | portrait frames within panels | figures below portraits | left to right narrative | speech bubbles per panel | bordered panels | equal panel width | eye level | frontal figures"
CTN004jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | surrealist metaphor | newspaper illustration, pen and ink | dense cross-hatching | bold outlines | hand-drawn linework | scale texture detail | varied line weight | wavy motion lines, black and white | monochrome | print cartoon | white background, grotesque | absurdist | darkly comic | critical | surreal, political allegory | scathing | metaphorical | satirical | ironic, two figure layout | large object dominates left | small figure right | strong diagonal | extreme scale contrast | eye level | wide negative space upper half | implied table surface | texture-heavy centerpiece"
CTN005jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | varied line weight | radiating lines top left, black and white | monochrome | print cartoon | white background, threatening | confrontational | satirical | tense | darkly comic, political commentary | sharp | aggressive satire | ironic | accusatory, group at table | single dominant figure right | radial focus top left medallion | speech bubble center | rounded table arrangement | frontal and three-quarter views | wide shot | figures with hands raised | asymmetric balance | eye level"
CTN006jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | spot color red | mechanical detail rendering | varied line weight, black white and red | limited color | print cartoon | white background, aggressive | violent undertone | satirical | menacing | dark, political condemnation | scathing | war metaphor | accusatory | ironic, centered tank dominates | large caricature head emerging | debris field foreground | speech bubble top left with symbols | diagonal cannon barrel | low angle perspective | small observer bottom right | wide shot | ground scattered with wreckage"
CTN007jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | varied line weight | dense crowd hatching, black and white | monochrome | print cartoon | white background, violent | oppressive | dark | critical | confrontational, political condemnation | pro-democracy | accusatory | grave | allegoric, left crowd vs right military | oversized symbolic objects | diagonal rocket barrel center | speech bubble top left | tank labeled M7 right | skull and debris foreground | wide landscape format | extreme scale contrast | eye level | horizontal tension across frame"
CTN008jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | crowd scene | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | dense crowd detail | varied line weight, black and white | monochrome | print cartoon | white background, chaotic | satirical | frenetic | absurdist | crowded energy, political commentary | ironic | sharp | social critique | darkly comic, dense crowd fill | multiple overlapping figures | signs and placards throughout | two speech bubbles top | foreground to background layering | no clear focal point | wide shot | wall-to-wall characters | busy negative space | eye level"
CTN009jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | dense black shadow top left | varied line weight | fine detail on objects, black and white | monochrome | print cartoon | white background, contemplative | uncertain | subdued | analytical | tense, political commentary | metaphorical | ironic | understated | dry wit, two subject layout | large symbolic object left | small figure right | strong diagonal shadow top left | implied spotlight | eye level | wide negative space center | object and observer dynamic | minimal ground line | asymmetric balance"
CTN0011jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | two-panel strip | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | varied line weight | loose gestural hatching, black and white | monochrome | print cartoon | paneled layout, dark | sardonic | grotesque | critical | bleak, political condemnation | accountability critique | darkly ironic | scathing | allegorical, two panel vertical stack | top panel close-up | bottom panel wide shot | large paper pile dominates lower panel | small figures right of pile | framed top panel | open bottom panel | eye level both panels | skulls at base of pile | speech bubble lower right"
CTN0012jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | spot color red | varied line weight, black white and red | limited color | print cartoon | white background, confrontational | defiant | critical | aggressive | satirical, political commentary | ironic | sharp | accusatory | deadpan, single dominant figure | centered close-up | large speech bubble right | podium with emblem foreground | small observer bottom right | frontal view | top-heavy composition | minimal background | eye level | asymmetric balance"
CTN0013jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | varied line weight | fine suit striping detail, black and white | monochrome | print cartoon | white background, dark humour | melancholic | satirical | bleak | wry, political commentary | succession critique | ironic | sardonic | dry wit, two figure layout | standing figure pushes seated figure | wheelchair as prop | IV drip pole detail | speech bubble right | eye level | wide negative space | left to right movement | small observer bottom right | minimal ground line"
CTN0014jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | two-panel strip | newspaper illustration, pen and ink | cross-hatching | bold outlines | hand-drawn linework | varied line weight | motion lines | expressive splatter marks, black and white | monochrome | print cartoon | paneled layout, aggressive | darkly comic | confrontational | satirical | grotesque, political commentary | sharp | scathing | power critique | ironic, two panel vertical stack | top panel close-up confrontation | bottom panel wide shot aftermath | sound effect text top panel | speech bubble bottom panel | small child figure left | dominant adult figure right | mess on ground lower panel | eye level both panels | bordered top panel open bottom"
CTN0015jpg,"gdo_cartoon editorial cartoon | political cartoon | caricature | full color illustration | newspaper illustration, pen and ink with color wash | bold outlines | painterly color fill | hand-drawn linework | varied line weight | textured background wash, full color | ink and wash | editorial illustration | colored background, violent | dark | oppressive | allegorical | grave, political condemnation | anti-imperialism | scathing | accusatory | symbolic, extreme close-up fist | tiny figure atop fist | medal medallion foreground | blood splatter right | diagonal fist angle | warm grey-blue background | high drama lighting | small observer bottom right | strong diagonal tension | object fills frame"
